Date,Open Price,High Price,Low Price,Close Price,WAP,No.of Shares,No. of Trades,Total Turnover (Rs.),Deliverable Quantity,% Deli. Qty to Traded Qty,Spread High-Low,Spread Close-Open
7-February-2011,1068.80,1071.80,1013.55,1021.90,1041.088972946303757914,60805,2042,63303415.00,32105,52.80,58.25,-46.90
4-February-2011,1097.70,1104.50,1050.00,1058.35,1077.006829948958983586,27233,1447,29330127.00,5194,19.07,54.50,-39.35
3-February-2011,1090.00,1092.70,1071.00,1085.50,1085.789225379964969772,35398,1888,38434767.00,12229,34.55,21.70,-4.50
2-February-2011,1110.00,1113.00,1075.85,1078.80,1085.941702293043140303,41168,1615,44706048.00,15997,38.86,37.15,-31.20
1-February-2011,1109.00,1114.00,1091.05,1099.85,1103.373212121212121212,16500,1020,18205658.00,4540,27.52,22.95,-9.15
31-January-2011,1075.00,1121.60,1040.00,1102.40,1088.978329161144652235,40746,2166,44371511.00,4182,10.26,81.60,27.40
28-January-2011,1105.00,1110.00,1090.00,1094.05,1096.274150996351389278,35630,1181,39060248.00,17668,49.59,20.00,-10.95
27-January-2011,1147.00,1150.00,1108.00,1116.70,1129.141595153962645128,39620,1722,44736590.00,14398,36.34,42.00,-30.30
25-January-2011,1160.00,1162.00,1132.60,1136.55,1142.352408214063472308,80350,3095,91788016.00,34105,42.45,29.40,-23.45
24-January-2011,1121.00,1154.85,1107.00,1150.00,1134.772326931665922286,55975,2623,63518881.00,13415,23.97,47.85,29.00
21-January-2011,1155.00,1165.85,1115.00,1122.55,1143.926796121259611146,163352,6660,186862730.00,23867,14.61,50.85,-32.45
20-January-2011,1138.00,1145.00,1113.30,1135.55,1130.514422904647579460,27907,1133,31549266.00,7522,26.95,31.70,-2.45
19-January-2011,1145.40,1147.00,1135.00,1139.70,1139.718064193294731574,13989,597,15943516.00,3644,26.05,12.00,-5.70
18-January-2011,1142.00,1149.85,1130.00,1145.10,1139.102265372168284789,18540,926,21118956.00,4399,23.73,19.85,3.10
17-January-2011,1115.00,1150.00,1100.00,1135.85,1121.427328865125385947,26558,1237,29782867.00,8560,32.23,50.00,20.85
14-January-2011,1130.00,1149.00,1106.00,1118.30,1128.228533430056825051,41355,1633,46657891.00,11398,27.56,43.00,-11.70
13-January-2011,1180.00,1196.00,1126.25,1132.85,1151.384276283250542975,46503,1728,53542823.00,20875,44.89,69.75,-47.15
12-January-2011,1185.90,1196.80,1154.00,1188.05,1179.220796650203993987,37256,1771,43933050.00,12343,33.13,42.80,2.15
11-January-2011,1159.00,1190.00,1146.60,1176.40,1163.474768482184900329,25484,1539,29649991.00,3349,13.14,43.40,17.40
10-January-2011,1169.00,1179.95,1150.00,1156.05,1164.087045699892047499,55580,1766,64699958.00,24908,44.81,29.95,-12.95
7-January-2011,1181.00,1189.00,1162.05,1169.35,1173.643424036281179138,40572,1904,47617061.00,10432,25.71,26.95,-11.65
6-January-2011,1208.00,1208.00,1184.10,1192.10,1195.894520686175580221,99100,2011,118513147.00,61060,61.61,23.90,-15.90
5-January-2011,1220.00,1220.00,1191.00,1202.55,1199.948001390337156760,28770,1458,34522504.00,9371,32.57,29.00,-17.45
4-January-2011,1225.00,1232.90,1216.15,1220.85,1221.887886255924170616,26375,849,32227293.00,12479,47.31,16.75,-4.15
3-January-2011,1215.00,1237.00,1215.00,1222.95,1225.726807949204254968,12127,534,14864389.00,3628,29.92,22.00,7.95
