Date,Open Price,High Price,Low Price,Close Price,WAP,No.of Shares,No. of Trades,Total Turnover (Rs.),Deliverable Quantity,% Deli. Qty to Traded Qty,Spread High-Low,Spread Close-Open
11-October-2011,853.25,861.00,829.90,832.95,850.077854830272440655,848772,13568,721522281.00,457148,53.86,31.10,-20.30
10-October-2011,825.00,847.80,816.15,844.45,834.970641925640078273,365385,12783,305085748.00,67649,18.51,31.65,19.45
7-October-2011,815.15,830.90,815.15,824.30,823.791915272440797808,663869,22246,546889915.00,117376,17.68,15.75,9.15
5-October-2011,802.60,804.40,762.05,778.95,778.464034932986875536,1179172,34900,917942993.00,212166,17.99,42.35,-23.65
4-October-2011,835.80,845.00,791.05,800.70,813.556913862544606427,1028159,24633,836465863.00,306115,29.77,53.95,-35.10
3-October-2011,857.00,860.00,836.50,839.25,844.070936856010568031,473125,13833,399351062.00,185159,39.14,23.50,-17.75
30-September-2011,884.90,888.05,866.55,875.35,878.466720360533198193,442012,10701,388292832.00,123443,27.93,21.50,-9.55
29-September-2011,863.75,894.80,858.50,889.65,875.825091089134050197,393845,12176,344939333.00,82504,20.95,36.30,25.90
28-September-2011,892.70,892.90,859.00,868.95,870.829969156076739464,369927,10310,322143518.00,56142,15.18,33.90,-23.75
27-September-2011,874.00,895.25,873.40,887.40,886.330736106660831373,383871,11697,340236666.00,82066,21.38,21.85,13.40
26-September-2011,845.00,871.85,833.10,856.45,850.501819302872201091,509261,15253,433127407.00,53873,10.58,38.75,11.45
23-September-2011,847.50,866.00,840.50,844.65,851.249603620163051668,471139,14124,401056887.00,68310,14.50,25.50,-2.85
22-September-2011,879.00,883.80,853.45,863.60,873.903318377033955899,562082,12749,491205325.00,245208,43.62,30.35,-15.40
21-September-2011,882.10,905.00,877.00,901.45,897.499813403501194407,527877,12569,473769509.00,88164,16.70,28.00,19.35
20-September-2011,860.20,887.25,860.00,882.45,874.298912584495123689,296023,8718,258812587.00,48815,16.49,27.25,22.25
19-September-2011,874.00,877.35,857.05,859.65,862.621851997380484610,381750,9900,329305892.00,100220,26.25,20.30,-14.35
16-September-2011,890.00,895.00,870.60,880.95,883.644440664853466428,664387,19076,587081879.00,52297,7.87,24.40,-9.05
15-September-2011,875.00,882.05,851.25,875.85,863.899100660017049286,505593,14797,436781338.00,25293,5.00,30.80,0.85
14-September-2011,855.10,871.20,840.40,866.65,854.603329482667526350,558345,18417,477163496.00,84828,15.19,30.80,11.55
13-September-2011,871.30,880.70,842.00,853.80,862.226325613983717732,382502,11609,329803294.00,26967,7.05,38.70,-17.50
12-September-2011,882.65,882.65,854.20,861.75,863.863879568967934279,427996,13178,369730285.00,135717,31.71,28.45,-20.90
9-September-2011,924.00,925.00,891.00,896.40,911.141585522462347347,363653,9862,331339371.00,34835,9.58,34.00,-27.60
8-September-2011,901.00,930.00,883.85,919.30,905.608612200440355596,470983,14096,426526261.00,75177,15.96,46.15,18.30
7-September-2011,893.00,906.00,892.00,896.80,899.565634035002721315,317861,9988,285936832.00,33629,10.58,14.00,3.80
6-September-2011,876.90,895.90,856.05,889.45,870.252761686591242659,577093,13302,502216777.00,159154,27.58,39.85,12.55
5-September-2011,877.00,888.00,865.95,881.35,877.281204066160201760,258524,9051,226798246.00,25141,9.72,22.05,4.35
2-September-2011,892.00,899.00,876.00,887.20,887.794316544002805833,364954,12989,324004087.00,53008,14.52,23.00,-4.80
30-August-2011,870.00,886.45,860.30,873.25,872.285174213484513005,328792,11504,286800387.00,83464,25.39,26.15,3.25
29-August-2011,837.00,862.00,835.70,858.10,850.955089473582611045,310818,10981,264492159.00,55134,17.74,26.30,21.10
26-August-2011,835.00,837.40,813.55,820.15,826.869556927192649206,692279,12097,572424430.00,349901,50.54,23.85,-14.85
25-August-2011,847.50,853.55,827.90,834.60,837.851724328291987756,489089,15621,409784062.00,83745,17.12,25.65,-12.90
24-August-2011,848.00,859.70,835.00,841.80,847.658146890008199601,554905,14201,470369744.00,211598,38.13,24.70,-6.20
23-August-2011,859.00,863.40,832.05,852.00,847.893581269899649874,554658,16252,470290958.00,107727,19.42,31.35,-7.00
22-August-2011,836.55,858.00,827.00,850.90,840.871160227515172974,440586,14914,370476061.00,58247,13.22,31.00,14.35
19-August-2011,849.80,853.45,825.00,833.15,840.147741460447546179,843399,24849,708579765.00,274073,32.50,28.45,-16.65
18-August-2011,913.30,915.00,862.20,864.75,875.094078191989474870,913623,26426,799506077.00,225633,24.70,52.80,-48.55
17-August-2011,931.00,942.00,908.20,910.55,914.180610351086707743,882574,23543,806832038.00,390634,44.26,33.80,-20.45
16-August-2011,960.00,966.05,932.90,935.15,944.347096798038660079,324676,10046,306606838.00,82586,25.44,33.15,-24.85
12-August-2011,957.90,964.50,933.55,939.80,946.089572649572649572,523575,14372,495348848.00,145371,27.77,30.95,-18.10
11-August-2011,958.50,969.00,940.20,942.40,951.288333500924800185,328179,11193,312192854.00,74169,22.60,28.80,-16.10
10-August-2011,963.00,971.75,960.00,963.60,964.807188666236196688,365492,9332,352629309.00,115458,31.59,11.75,0.60
9-August-2011,916.80,965.35,912.65,940.95,934.731252116825326497,938906,22023,877624781.00,318823,33.96,52.70,24.15
8-August-2011,942.20,974.10,935.00,952.10,953.669704194113786830,481532,13983,459222480.00,150708,31.30,39.10,9.90
5-August-2011,974.85,974.85,950.00,966.10,961.067288534685745335,496890,15309,477544725.00,167196,33.65,24.85,-8.75
4-August-2011,1009.00,1015.00,990.00,993.10,1002.034570936808458323,366030,9295,366774714.00,154698,42.26,25.00,-15.90
3-August-2011,1015.00,1015.00,990.60,1001.80,1000.294495134170771188,520158,13824,520311184.00,213893,41.12,24.40,-13.20
2-August-2011,1039.90,1041.80,1018.10,1021.90,1025.073073144592301509,279925,7680,286943580.00,83265,29.75,23.70,-18.00
1-August-2011,1055.00,1059.00,1036.25,1043.65,1049.495264638603318171,190165,7260,199577267.00,35454,18.64,22.75,-11.35
29-July-2011,1011.95,1050.00,1004.00,1037.75,1031.468593248792976022,787474,25845,812254699.00,110066,13.98,46.00,25.80
28-July-2011,1014.80,1034.80,1012.00,1017.55,1022.966801458891445381,216877,7103,221857971.00,53211,24.54,22.80,2.75
27-July-2011,1041.00,1046.65,1019.00,1024.75,1032.704713126167774734,394982,13508,407899773.00,163503,41.40,27.65,-16.25
26-July-2011,1075.00,1079.40,1033.20,1040.60,1045.982352725135889525,490104,12217,512640135.00,150771,30.76,46.20,-34.40
25-July-2011,1065.00,1083.00,1056.10,1074.20,1070.140710113539410645,228555,7464,244586010.00,38469,16.83,26.90,9.20
22-July-2011,1048.85,1070.00,1046.35,1068.30,1059.709277485739850128,178820,5726,189497213.00,55032,30.78,23.65,19.45
21-July-2011,1044.00,1054.00,1038.05,1041.10,1044.704319056909562003,193746,5921,202407283.00,43401,22.40,15.95,-2.90
20-July-2011,1065.00,1069.00,1041.60,1044.40,1054.393304839592400510,230226,6151,242748753.00,60892,26.45,27.40,-20.60
19-July-2011,1045.00,1067.00,1042.00,1060.85,1055.535218132242672119,293400,7172,309694033.00,63835,21.76,25.00,15.85
18-July-2011,1056.40,1059.80,1044.20,1048.50,1054.160547491578930239,491624,5929,518250625.00,59133,12.03,15.60,-7.90
15-July-2011,1068.90,1074.00,1057.20,1060.05,1062.324238711023047241,153424,4843,162986034.00,31878,20.78,16.80,-8.85
14-July-2011,1051.00,1083.60,1046.90,1068.90,1066.372657750342935528,291600,8860,310954267.00,48241,16.54,36.70,17.90
13-July-2011,1050.00,1060.60,1045.40,1054.10,1054.633424058604664630,138146,4463,145693389.00,13357,9.67,15.20,4.10
12-July-2011,1040.50,1064.95,1038.20,1047.10,1050.107457792802883734,294618,8637,309380559.00,49397,16.77,26.75,6.60
11-July-2011,1059.60,1059.60,1046.00,1054.05,1053.612318924610482079,215587,5313,227145119.00,66244,30.73,13.60,-5.55
8-July-2011,1092.55,1094.90,1057.00,1060.00,1067.497382871192460046,366050,8805,390757417.00,136355,37.25,37.90,-32.55
7-July-2011,1080.00,1093.40,1063.00,1089.55,1078.012184588411012540,542981,11173,585340134.00,143129,26.36,30.40,9.55
6-July-2011,1096.90,1099.80,1072.50,1075.35,1084.290735273442991705,213390,6476,231376800.00,24529,11.49,27.30,-21.55
5-July-2011,1097.55,1101.00,1088.10,1097.10,1098.982327154740947844,1303695,5867,1432737765.00,1125128,86.30,12.90,-0.45
4-July-2011,1104.00,1111.00,1094.00,1099.10,1099.762361775799702715,465548,6152,511992168.00,301546,64.77,17.00,-4.90
1-July-2011,1102.90,1105.95,1088.10,1094.70,1095.470970532197168940,256653,8282,281155911.00,56167,21.88,17.85,-8.20
30-June-2011,1091.10,1098.90,1076.50,1093.10,1090.539103612716296748,309933,7343,337994056.00,125457,40.48,22.40,2.00
29-June-2011,1088.10,1094.35,1083.50,1087.15,1087.725828442605523288,592618,12046,644605905.00,382132,64.48,10.85,-0.95
28-June-2011,1082.00,1091.00,1073.55,1083.05,1083.170111117944269479,308951,8174,334646489.00,57628,18.65,17.45,1.05
27-June-2011,1052.10,1083.00,1048.00,1078.25,1072.997028266080933604,433417,10609,465055153.00,133077,30.70,35.00,26.15
24-June-2011,1035.15,1068.55,1035.00,1065.25,1056.921593401814790835,413932,11705,437493669.00,108861,26.30,33.55,30.10
23-June-2011,1018.00,1036.80,1014.05,1030.85,1028.889486489430809020,247843,6652,255003057.00,71402,28.81,22.75,12.85
22-June-2011,1021.00,1027.00,1010.60,1019.55,1019.904616465754905670,295984,7350,301875448.00,76529,25.86,16.40,-1.45
21-June-2011,1027.25,1037.60,1004.00,1014.35,1020.699992199935866139,346151,10766,353316323.00,82596,23.86,33.60,-12.90
20-June-2011,1036.00,1040.35,1009.10,1025.20,1029.172862194025150085,307991,7230,316975979.00,99814,32.41,31.25,-10.80
17-June-2011,1035.00,1038.00,1024.00,1031.45,1030.397283945731679165,303234,7457,312451490.00,104795,34.56,14.00,-3.55
16-June-2011,1025.00,1044.45,1016.95,1028.50,1032.954325736828283586,346519,10845,357938300.00,42140,12.16,27.50,3.50
15-June-2011,1054.00,1054.95,1029.10,1033.05,1040.915525559675129362,148613,4885,154693579.00,25884,17.42,25.85,-20.95
14-June-2011,1045.00,1058.40,1043.80,1055.20,1053.330667363083385020,275697,6611,290400105.00,126151,45.76,14.60,10.20
13-June-2011,1030.00,1045.40,1028.25,1039.35,1038.090434735832309775,334617,7697,347362707.00,136105,40.67,17.15,9.35
10-June-2011,1050.00,1050.50,1027.00,1034.95,1036.815686195095279560,246905,7264,255994977.00,53156,21.53,23.50,-15.05
9-June-2011,1048.00,1055.50,1042.55,1046.00,1049.446206481114775703,300473,6964,315330250.00,96276,32.04,12.95,-2.00
8-June-2011,1053.90,1061.00,1041.10,1049.35,1052.422142362070968698,249603,7770,262687724.00,26813,10.74,19.90,-4.55
7-June-2011,1051.25,1063.60,1050.05,1055.80,1058.393561914635986274,258493,6512,273587327.00,96542,37.35,13.55,4.55
6-June-2011,1046.00,1064.05,1035.25,1057.95,1048.832402061855670103,194000,7078,203473486.00,36202,18.66,28.80,11.95
3-June-2011,1055.00,1067.45,1042.90,1048.80,1055.149528787235022805,195347,6046,206120295.00,28073,14.37,24.55,-6.20
2-June-2011,1062.80,1063.00,1045.15,1051.40,1053.948370482138650673,314142,11202,331089449.00,95717,30.47,17.85,-11.40
1-June-2011,1082.80,1088.00,1069.05,1085.05,1079.781181807988545898,231882,7977,250381820.00,42845,18.48,18.95,2.25
31-May-2011,1076.00,1094.00,1076.00,1086.00,1087.526782595727813948,254811,6858,277113787.00,66950,26.27,18.00,10.00
30-May-2011,1068.00,1082.30,1068.00,1073.45,1074.734066627694713323,278833,7071,299671324.00,113593,40.74,14.30,5.45
27-May-2011,1030.10,1074.60,1029.20,1069.00,1060.900694788674150410,365147,11913,387384706.00,98896,27.08,45.40,38.90
26-May-2011,1017.00,1032.20,1014.60,1025.65,1023.413504548188242369,212832,7094,217815143.00,46220,21.72,17.60,8.65
25-May-2011,1021.80,1021.80,1004.60,1009.95,1010.648503552885444934,255004,9696,257719411.00,40786,15.99,17.20,-11.85
24-May-2011,1010.00,1031.70,1009.00,1019.35,1021.864410592463994914,408970,10712,417911888.00,156512,38.27,22.70,9.35
23-May-2011,1037.80,1037.80,1002.25,1006.55,1014.604826435942875013,383720,15468,389324164.00,137847,35.92,35.55,-31.25
20-May-2011,1036.00,1054.00,1025.00,1044.25,1043.855225776648573738,346360,9680,361549696.00,74565,21.53,29.00,8.25
19-May-2011,1041.00,1043.00,1026.00,1030.50,1032.071616448901909629,233815,6258,241313825.00,34386,14.71,17.00,-10.50
18-May-2011,1044.00,1051.70,1025.25,1032.40,1035.078316121352507801,310830,9363,321733393.00,42967,13.82,26.45,-11.60
17-May-2011,1060.00,1063.85,1023.25,1039.50,1041.863851681737153865,340511,10943,354766102.00,67812,19.91,40.60,-20.50
16-May-2011,1062.25,1066.35,1055.00,1057.45,1060.291995591840406630,222315,6393,235718815.00,22220,9.99,11.35,-4.80
13-May-2011,1056.10,1096.00,1045.50,1075.70,1077.142186418170836674,475179,14478,511835347.00,60606,12.75,50.50,19.60
12-May-2011,1071.70,1078.95,1052.00,1055.00,1063.675559142753977188,235405,9032,250394545.00,41756,17.74,26.95,-16.70
11-May-2011,1080.00,1081.00,1061.30,1075.45,1070.880174681722257688,245933,9231,263364774.00,36805,14.97,19.70,-4.55
10-May-2011,1081.00,1084.40,1067.50,1074.95,1076.586870940374282341,222773,7709,239834487.00,32619,14.64,16.90,-6.05
9-May-2011,1091.00,1093.00,1066.55,1082.50,1079.302996471553724447,240049,8916,259085605.00,27069,11.28,26.45,-8.50
6-May-2011,1036.00,1085.00,1035.00,1081.35,1068.513638178080967559,839225,16538,896723358.00,276147,32.90,50.00,45.35
5-May-2011,1058.65,1067.65,1020.00,1028.30,1040.872624442770526419,404905,15119,421454530.00,86525,21.37,47.65,-30.35
4-May-2011,1068.65,1071.35,1043.50,1058.10,1059.106508294885638558,478789,16311,507088546.00,80464,16.81,27.85,-10.55
3-May-2011,1094.25,1108.20,1056.60,1067.90,1082.225765770280250506,838143,24920,907059950.00,162408,19.38,51.60,-26.35
2-May-2011,1116.45,1118.70,1095.00,1098.20,1101.675450888215883921,309722,7830,341213124.00,131664,42.51,23.70,-18.25
29-April-2011,1115.20,1127.15,1103.00,1114.25,1117.961412985721361012,498717,15357,557546362.00,116210,23.30,24.15,-0.95
28-April-2011,1119.40,1127.50,1085.65,1117.55,1110.782188889463634707,1778564,37327,1975597213.00,706827,39.74,41.85,-1.85
27-April-2011,1126.15,1129.00,1103.00,1107.35,1113.697767662523460317,488591,10054,544142706.00,224901,46.03,26.00,-18.80
26-April-2011,1119.00,1124.35,1098.30,1121.05,1112.220351309384193043,457887,10139,509271240.00,164118,35.84,26.05,2.05
25-April-2011,1116.00,1126.50,1110.00,1113.10,1119.840483483785882039,307849,6174,344741773.00,138357,44.94,16.50,-2.90
21-April-2011,1116.60,1122.80,1111.50,1117.25,1117.768538905279844995,181672,6304,203067246.00,35943,19.78,11.30,0.65
20-April-2011,1106.80,1113.55,1094.90,1111.30,1105.906041257238169654,380103,8779,420358204.00,118289,31.12,18.65,4.50
19-April-2011,1083.05,1093.85,1073.20,1090.20,1085.985117302052785923,368280,10501,399946599.00,46414,12.60,20.65,7.15
18-April-2011,1104.00,1116.55,1080.00,1082.20,1097.312359859720938315,414317,12131,454635165.00,93403,22.54,36.55,-21.80
15-April-2011,1118.15,1137.90,1097.50,1101.30,1114.817668627617782489,458451,13173,511089275.00,119787,26.13,40.40,-16.85
13-April-2011,1089.00,1130.00,1086.00,1128.05,1115.835509038944582259,577667,15326,644581351.00,217875,37.72,44.00,39.05
11-April-2011,1090.00,1106.00,1086.05,1098.70,1098.085538496125261181,302472,9283,332140129.00,47568,15.73,19.95,8.70
8-April-2011,1104.00,1117.90,1092.10,1098.00,1103.114104660008740551,370686,11751,408908955.00,85709,23.12,25.80,-6.00
7-April-2011,1102.80,1113.70,1093.50,1102.30,1104.732490091612807974,392849,12546,433993054.00,109250,27.81,20.20,-0.50
6-April-2011,1110.00,1119.70,1095.00,1100.50,1105.830278050554028386,294299,9197,325444745.00,89127,30.28,24.70,-9.50
5-April-2011,1121.20,1126.70,1105.00,1110.00,1112.925733089223694854,328814,10689,365945562.00,102234,31.09,21.70,-11.20
4-April-2011,1107.80,1126.55,1105.30,1119.30,1118.094812550047317463,343425,10798,383981711.00,112697,32.82,21.25,11.50
1-April-2011,1110.00,1119.00,1095.00,1102.70,1102.920766916070266753,295104,9450,325476330.00,81541,27.63,24.00,-7.30
31-March-2011,1112.55,1126.00,1098.10,1112.75,1113.953730247701655901,475451,16186,529630415.00,131114,27.58,27.90,0.20
