Date,Open Price,High Price,Low Price,Close Price,WAP,No.of Shares,No. of Trades,Total Turnover (Rs.),Deliverable Quantity,% Deli. Qty to Traded Qty,Spread High-Low,Spread Close-Open
18-July-2011,512.50,518.90,507.00,514.40,515.998821751320219820,447274,4302,230792857.00,54221,12.12,11.90,1.90
15-July-2011,505.90,511.00,503.10,509.00,507.632757279035082030,123368,3341,62625638.00,42076,34.11,7.90,3.10
14-July-2011,505.90,513.65,498.60,505.90,506.418219800052580344,281474,7032,142543562.00,71256,25.32,15.05,0.00
13-July-2011,2490.00,2525.00,2481.00,2515.65,2512.135150498426386789,72127,2498,181192772.00,44002,61.01,44.00,25.65
12-July-2011,2506.00,2506.00,2461.60,2480.05,2482.427738187099995460,44062,3465,109380731.00,8914,20.23,44.40,-25.95
11-July-2011,2558.00,2565.50,2515.35,2523.35,2547.049841376982787715,74075,1871,188672717.00,50887,68.70,50.15,-34.65
8-July-2011,2564.00,2582.50,2552.35,2558.20,2568.603620564808110065,34525,2484,88681040.00,7126,20.64,30.15,-5.80
7-July-2011,2545.05,2572.00,2535.20,2564.95,2561.062671286816821546,63490,3248,162601869.00,32145,50.63,36.80,19.90
6-July-2011,2534.00,2557.00,2530.10,2545.05,2545.254224053429914771,60191,2594,153201397.00,20487,34.04,26.90,11.05
5-July-2011,2520.00,2551.00,2514.00,2540.40,2531.896765816808309726,42360,2600,107251147.00,16158,38.14,37.00,20.40
4-July-2011,2525.00,2539.80,2511.00,2532.30,2528.129768941429339065,52108,3318,131735786.00,20674,39.68,28.80,7.30
1-July-2011,2527.00,2538.00,2480.05,2496.90,2496.517879734579535772,77462,2343,193385268.00,48532,62.65,57.95,-30.10
30-June-2011,2487.00,2515.00,2451.55,2502.60,2497.074309502012333097,57893,3522,144563123.00,21314,36.82,63.45,15.60
29-June-2011,2431.05,2496.70,2431.00,2486.90,2467.688643737832576249,77050,3436,190135410.00,36746,47.69,65.70,55.85
28-June-2011,2417.00,2430.00,2405.90,2422.75,2420.549073332922849578,64964,1912,157248550.00,33586,51.70,24.10,5.75
27-June-2011,2382.00,2430.00,2380.00,2416.30,2413.765523604009319635,63951,2485,154362719.00,31844,49.79,50.00,34.30
24-June-2011,2340.00,2390.00,2340.00,2381.45,2370.277273769364294370,30533,1811,72371676.00,11104,36.37,50.00,41.45
23-June-2011,2322.80,2339.70,2310.00,2332.35,2323.761168737804251822,19474,1182,45252925.00,3469,17.81,29.70,9.55
22-June-2011,2347.00,2347.00,2314.00,2322.70,2324.576800920598388952,21725,1114,50501431.00,5810,26.74,33.00,-24.30
21-June-2011,2306.00,2347.00,2305.05,2330.10,2331.014163004394726328,50060,1826,116690569.00,19436,38.83,41.95,24.10
